sec desc
0  BT.L persisted
0  VOD.L persisted
0  BP.L persisted
0  GOOG persisted
1  BP.L: 251.75
1  GOOG: 418.90
1  VOD.L: 278.14
1  BT.L: 15.39
2  VOD.L: 278.14
2  BP.L: 251.75
2  GOOG: 418.90
2  BT.L: 15.39
3  GOOG: 418.90
3  BP.L: 251.75
3  VOD.L: 278.14
3  BT.L: 15.39
3  GOOG persisted
3  BP.L persisted
4  BP.L: 251.75
4  GOOG: 418.90
4  VOD.L: 278.14
4  BT.L: 15.39
5  GOOG: 848.21
5  VOD.L: 884.02
5  BP.L: 251.75
5  BT.L: 15.39
5  BT.L persisted
5  VOD.L persisted
6  GOOG: 848.21
6  BP.L: 251.75
6  BT.L: 15.39
6  VOD.L: 884.02
6  GOOG persisted
6  BP.L persisted
7  VOD.L: 884.02
7  GOOG: 848.21
7  BT.L: 440.66
7  BP.L: 251.75
8  VOD.L: 884.02
8  BT.L: 440.66
8  BP.L: 251.75
8  GOOG: 848.21
9  BP.L: 251.75
9  BT.L: 440.66
9  GOOG: 848.21
9  VOD.L: 884.02
9  GOOG persisted
9  BP.L persisted
10 BP.L: 550.75
10 GOOG: 478.15
10 VOD.L: 345.12
10 BT.L: 440.66
10 BT.L persisted
10 VOD.L persisted
11 BT.L: 440.66
11 VOD.L: 345.12
11 BP.L: 550.75
11 GOOG: 478.15
12 VOD.L: 345.12
12 BT.L: 440.66
12 GOOG: 478.15
12 BP.L: 550.75
12 GOOG persisted
12 BP.L persisted
13 BT.L: 440.66
13 BP.L: 550.75
13 GOOG: 478.15
13 VOD.L: 345.12
14 GOOG: 478.15
14 BT.L: 914.82
14 VOD.L: 345.12
14 BP.L: 550.75
15 VOD.L: 830.71
15 GOOG: 494.90
15 BP.L: 550.75
15 BT.L: 914.82
15 GOOG persisted
15 BP.L persisted
15 BT.L persisted
15 VOD.L persisted
16 BP.L: 550.75
16 VOD.L: 830.71
16 BT.L: 914.82
16 GOOG: 494.90
17 BT.L: 914.82
17 GOOG: 494.90
17 BP.L: 550.75
17 VOD.L: 830.71
18 VOD.L: 830.71
18 GOOG: 494.90
18 BT.L: 914.82
18 BP.L: 550.75
18 GOOG persisted
18 BP.L persisted
19 GOOG: 494.90
19 VOD.L: 830.71
19 BP.L: 550.75
19 BT.L: 914.82
20 VOD.L: 758.86
20 BP.L: 272.56
20 BT.L: 914.82
20 GOOG: 706.90
20 BT.L persisted
20 VOD.L persisted
21 GOOG: 706.90
21 BP.L: 272.56
21 VOD.L: 758.86
21 BT.L: 554.70
21 GOOG persisted
21 BP.L persisted
22 BP.L: 272.56
22 VOD.L: 758.86
22 GOOG: 706.90
22 BT.L: 554.70
23 BT.L: 554.70
23 GOOG: 706.90
23 BP.L: 272.56
23 VOD.L: 758.86
24 GOOG: 706.90
24 BP.L: 272.56
24 VOD.L: 758.86
24 BT.L: 554.70
24 GOOG persisted
24 BP.L persisted
25 VOD.L: 884.63
25 BP.L: 272.56
25 BT.L: 554.70
25 GOOG: 214.49
25 BT.L persisted
25 VOD.L persisted
26 BT.L: 554.70
26 VOD.L: 884.63
26 BP.L: 272.56
26 GOOG: 214.49
27 BT.L: 554.70
27 VOD.L: 884.63
27 BP.L: 272.56
27 GOOG: 214.49
27 GOOG persisted
27 BP.L persisted
28 GOOG: 214.49
28 BP.L: 272.56
28 VOD.L: 884.63
28 BT.L: 554.70
29 GOOG: 214.49
29 BT.L: 532.79
29 VOD.L: 884.63
29 BP.L: 272.56
30 BP.L: 272.56
30 VOD.L: 884.63
30 BT.L: 532.79
30 GOOG: 214.49
30 GOOG persisted
30 BP.L persisted
30 BT.L persisted
30 VOD.L persisted
